name,name_lower,firstinitial_lower,firstname_lower,lastname_lower,position_description,position_description_cleaned,value,birth_date,birth_year,birth_month,age,playing_country
Yoshinori Muto,yoshinori muto,y,yoshinori,muto,Centre-Forward,Forward,4950000.0,1992-07-15,1992,7,28,Japan
Andy Carroll,andy carroll,a,andy,carroll,Centre-Forward,Forward,2880000.0,1989-01-06,1989,1,31,England
Alex McCarthy,alex mccarthy,a,alex,mccarthy,Goalkeeper,Goalkeeper,5850000.0,1989-12-03,1989,12,30,England
Fraser Forster,fraser forster,f,fraser,forster,Goalkeeper,Goalkeeper,5850000.0,1988-03-17,1988,3,32,England
Angus Gunn,angus gunn,a,angus,gunn,Goalkeeper,Goalkeeper,4500000.0,1996-01-22,1996,1,24,England
Harry Lewis,harry lewis,h,harry,lewis,Goalkeeper,Goalkeeper,180000.0,1997-12-20,1997,12,22,England
Jan Bednarek,jan bednarek,j,jan,bednarek,Centre-Back,Defender,13500000.0,1996-04-12,1996,4,24,Poland
Jannik Vestergaard,jannik vestergaard,j,jannik,vestergaard,Centre-Back,Defender,10800000.0,1992-08-03,1992,8,28,Denmark
Mohammed Salisu,mohammed salisu,m,mohammed,salisu,Centre-Back,Defender,10800000.0,1999-04-17,1999,4,21,Ghana
Wesley Hoedt,wesley hoedt,w,wesley,hoedt,Centre-Back,Defender,5850000.0,1994-03-06,1994,3,26,Netherlands
Jack Stephens,jack stephens,j,jack,stephens,Centre-Back,Defender,4950000.0,1994-01-27,1994,1,26,England
Ryan Bertrand,ryan bertrand,r,ryan,bertrand,Left-Back,Defender,9450000.0,1989-08-05,1989,8,31,England
Sam McQueen,sam mcqueen,s,sam,mcqueen,Left-Back,Defender,720000.0,1995-02-06,1995,2,25,England
Jake Vokins,jake vokins,j,jake,vokins,Left-Back,Defender,,2000-03-17,2000,3,20,England
Kyle Walker-Peters,kyle walker-peters,k,kyle,walker-peters,Right-Back,Defender,7200000.0,1997-04-13,1997,4,23,England
Yan Valery,yan valery,y,yan,valery,Right-Back,Defender,5670000.0,1999-02-22,1999,2,21,France
Mario Lemina,mario lemina,m,mario,lemina,Defensive Midfield,Midfielder,9000000.0,1993-09-01,1993,9,26,Gabon
Oriol Romeu,oriol romeu,o,oriol,romeu,Defensive Midfield,Midfielder,7200000.0,1991-09-24,1991,9,28,Spain
Harrison Reed,harrison reed,h,harrison,reed,Defensive Midfield,Midfielder,2160000.0,1995-01-27,1995,1,25,England
James Ward-Prowse,james ward-prowse,j,james,ward-prowse,Central Midfield,Midfielder,16200000.0,1994-11-01,1994,11,25,England
Will Smallbone,will smallbone,w,will,smallbone,Central Midfield,Midfielder,900000.0,2000-02-21,2000,2,20,Ireland
Stuart Armstrong,stuart armstrong,s,stuart,armstrong,Attacking Midfield,Midfielder,5850000.0,1992-03-30,1992,3,28,Scotland
Jake Hesketh,jake hesketh,j,jake,hesketh,Attacking Midfield,Midfielder,180000.0,1996-03-27,1996,3,24,England
Nathan Redmond,nathan redmond,n,nathan,redmond,Left Winger,Forward,16200000.0,1994-03-06,1994,3,26,England
Moussa Djenepo,moussa djenepo,m,moussa,djenepo,Left Winger,Forward,9900000.0,1998-06-15,1998,6,22,Mali
Sofiane Boufal,sofiane boufal,s,sofiane,boufal,Left Winger,Forward,7200000.0,1993-09-17,1993,9,26,Morocco
Josh Sims,josh sims,j,josh,sims,Right Winger,Forward,1440000.0,1997-03-28,1997,3,23,England
Danny Ings,danny ings,d,danny,ings,Centre-Forward,Forward,18000000.0,1992-07-23,1992,7,28,England
Che Adams,che adams,c,che,adams,Centre-Forward,Forward,10800000.0,1996-07-13,1996,7,24,England
Guido Carrillo,guido carrillo,g,guido,carrillo,Centre-Forward,Forward,4320000.0,1991-05-25,1991,5,29,Argentina
Michael Obafemi,michael obafemi,m,michael,obafemi,Centre-Forward,Forward,4050000.0,2000-07-06,2000,7,20,Ireland
Shane Long,shane long,s,shane,long,Centre-Forward,Forward,2520000.0,1987-01-22,1987,1,33,Ireland
Mathew Ryan,mathew ryan,m,mathew,ryan,Goalkeeper,Goalkeeper,7200000.0,1992-04-08,1992,4,28,Australia
David Button,david button,d,david,button,Goalkeeper,Goalkeeper,1080000.0,1989-02-27,1989,2,31,England
Christian Walton,christian walton,c,christian,walton,Goalkeeper,Goalkeeper,720000.0,1995-11-06,1995,11,24,England
Jason Steele,jason steele,j,jason,steele,Goalkeeper,Goalkeeper,540000.0,1990-08-18,1990,8,30,England
Robert Sánchez,robert sanchez,r,robert,sanchez,Goalkeeper,Goalkeeper,135000.0,1997-11-18,1997,11,22,Spain
Lewis Dunk,lewis dunk,l,lewis,dunk,Centre-Back,Defender,18000000.0,1991-11-21,1991,11,28,England
Adam Webster,adam webster,a,adam,webster,Centre-Back,Defender,10800000.0,1995-01-04,1995,1,25,England
Shane Duffy,shane duffy,s,shane,duffy,Centre-Back,Defender,8550000.0,1992-01-01,1992,1,28,Ireland
Joël Veltman,joel veltman,j,joel,veltman,Centre-Back,Defender,7200000.0,1992-01-15,1992,1,28,Netherlands
Ben White,ben white,b,ben,white,Centre-Back,Defender,4950000.0,1997-10-08,1997,10,22,England
Dan Burn,dan burn,d,dan,burn,Centre-Back,Defender,3600000.0,1992-05-09,1992,5,28,England
Bernardo,bernardo,b,bernardo,bernardo,Left-Back,Defender,4320000.0,1995-05-14,1995,5,25,Brazil
Tariq Lamptey,tariq lamptey,t,tariq,lamptey,Right-Back,Defender,7200000.0,2000-09-30,2000,9,19,England
Tudor Baluta,tudor baluta,t,tudor,baluta,Defensive Midfield,Midfielder,3240000.0,1999-03-27,1999,3,21,Romania
Davy Pröpper,davy propper,d,davy,propper,Central Midfield,Midfielder,12150000.0,1991-09-02,1991,9,28,Netherlands
Yves Bissouma,yves bissouma,y,yves,bissouma,Central Midfield,Midfielder,8550000.0,1996-08-30,1996,8,24,Mali
Dale Stephens,dale stephens,d,dale,stephens,Central Midfield,Midfielder,4320000.0,1989-06-12,1989,6,31,England
Jayson Molumby,jayson molumby,j,jayson,molumby,Central Midfield,Midfielder,810000.0,1999-08-06,1999,8,21,Ireland
Solly March,solly march,s,solly,march,Left Midfield,Midfielder,5850000.0,1994-07-20,1994,7,26,England
Alexis Mac Allister,alexis mac allister,a,alexis,allister,Attacking Midfield,Midfielder,9900000.0,1998-12-24,1998,12,21,Argentina
Pascal Groß,pascal gro,p,pascal,gro,Attacking Midfield,Midfielder,8550000.0,1991-06-15,1991,6,29,Germany
Adam Lallana,adam lallana,a,adam,lallana,Attacking Midfield,Midfielder,8550000.0,1988-05-10,1988,5,32,England
Steven Alzate,steven alzate,s,steven,alzate,Attacking Midfield,Midfielder,2070000.0,1998-09-08,1998,9,21,Colombia
Leandro Trossard,leandro trossard,l,leandro,trossard,Left Winger,Forward,11700000.0,1994-12-04,1994,12,25,Belgium
José Izquierdo,jose izquierdo,j,jose,izquierdo,Left Winger,Forward,5850000.0,1992-07-07,1992,7,28,Colombia
Alireza Jahanbakhsh,alireza jahanbakhsh,a,alireza,jahanbakhsh,Right Winger,Forward,5850000.0,1993-08-11,1993,8,27,Iran
Neal Maupay,neal maupay,n,neal,maupay,Centre-Forward,Forward,18000000.0,1996-08-14,1996,8,24,France
Aaron Connolly,aaron connolly,a,aaron,connolly,Centre-Forward,Forward,3600000.0,2000-01-28,2000,1,20,Ireland
Florin Andone,florin andone,f,florin,andone,Centre-Forward,Forward,2520000.0,1993-04-11,1993,4,27,Romania
Glenn Murray,glenn murray,g,glenn,murray,Centre-Forward,Forward,1440000.0,1983-09-25,1983,9,36,England
Viktor Gyökeres,viktor gyokeres,v,viktor,gyokeres,Centre-Forward,Forward,900000.0,1998-06-04,1998,6,22,Sweden
Vicente Guaita,vicente guaita,v,vicente,guaita,Goalkeeper,Goalkeeper,3600000.0,1987-01-10,1987,1,33,Spain
Wayne Hennessey,wayne hennessey,w,wayne,hennessey,Goalkeeper,Goalkeeper,2160000.0,1987-01-24,1987,1,33,Wales
Mamadou Sakho,mamadou sakho,m,mamadou,sakho,Centre-Back,Defender,8550000.0,1990-02-13,1990,2,30,France
Nathan Ferguson,nathan ferguson,n,nathan,ferguson,Centre-Back,Defender,3600000.0,2000-10-06,2000,10,19,England
James Tomkins,james tomkins,j,james,tomkins,Centre-Back,Defender,3600000.0,1989-03-29,1989,3,31,England
Gary Cahill,gary cahill,g,gary,cahill,Centre-Back,Defender,3600000.0,1985-12-19,1985,12,34,England
Jairo Riedewald,jairo riedewald,j,jairo,riedewald,Centre-Back,Defender,2880000.0,1996-09-09,1996,9,23,Netherlands
Scott Dann,scott dann,s,scott,dann,Centre-Back,Defender,2520000.0,1987-02-14,1987,2,33,England
Jaroslaw Jach,jaroslaw jach,j,jaroslaw,jach,Centre-Back,Defender,473000.0,1994-02-17,1994,2,26,Poland
Patrick van Aanholt,patrick van aanholt,p,patrick,aanholt,Left-Back,Defender,8550000.0,1990-08-29,1990,8,30,Netherlands
Joel Ward,joel ward,j,joel,ward,Right-Back,Defender,2880000.0,1989-10-29,1989,10,30,England
Martin Kelly,martin kelly,m,martin,kelly,Right-Back,Defender,2520000.0,1990-04-27,1990,4,30,England
Luka Milivojevic,luka milivojevic,l,luka,milivojevic,Defensive Midfield,Midfielder,18000000.0,1991-04-07,1991,4,29,Serbia
Cheikhou Kouyaté,cheikhou kouyate,c,cheikhou,kouyate,Defensive Midfield,Midfielder,7200000.0,1989-12-21,1989,12,30,Senegal
James McArthur,james mcarthur,j,james,mcarthur,Central Midfield,Midfielder,4320000.0,1987-10-07,1987,10,32,Scotland
James McCarthy,james mccarthy,j,james,mccarthy,Central Midfield,Midfielder,3600000.0,1990-11-12,1990,11,29,Ireland
Jeffrey Schlupp,jeffrey schlupp,j,jeffrey,schlupp,Left Midfield,Midfielder,8550000.0,1992-12-23,1992,12,27,Ghana
Eberechi Eze,eberechi eze,e,eberechi,eze,Attacking Midfield,Midfielder,8100000.0,1998-06-29,1998,6,22,England
Max Meyer,max meyer,m,max,meyer,Attacking Midfield,Midfielder,7200000.0,1995-09-18,1995,9,24,Germany
Brandon Pierrick,brandon pierrick,b,brandon,pierrick,Attacking Midfield,Midfielder,,2001-12-10,2001,12,18,England
Wilfried Zaha,wilfried zaha,w,wilfried,zaha,Left Winger,Forward,39600000.0,1992-11-10,1992,11,27,Cote d'Ivoire
Andros Townsend,andros townsend,a,andros,townsend,Right Winger,Forward,8550000.0,1991-07-16,1991,7,29,England
Christian Benteke,christian benteke,c,christian,benteke,Centre-Forward,Forward,9450000.0,1990-12-03,1990,12,29,Belgium
Jordan Ayew,jordan ayew,j,jordan,ayew,Centre-Forward,Forward,9000000.0,1991-09-11,1991,9,28,Ghana
Connor Wickham,connor wickham,c,connor,wickham,Centre-Forward,Forward,1080000.0,1993-03-31,1993,3,27,England
Nick Pope,nick pope,n,nick,pope,Goalkeeper,Goalkeeper,10800000.0,1992-04-19,1992,4,28,England
